match_id,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
FRIENDLY_1872-11-30_SCOTLAND_ENGLAND,1872-11-30,Scotland,England,0,0,Friendly,Glasgow,Scotland,False
FRIENDLY_1873-03-08_ENGLAND_SCOTLAND,1873-03-08,England,Scotland,4,2,Friendly,London,England,False
FRIENDLY_1874-03-07_SCOTLAND_ENGLAND,1874-03-07,Scotland,England,2,1,Friendly,Glasgow,Scotland,False
FRIENDLY_1875-03-06_ENGLAND_SCOTLAND,1875-03-06,England,Scotland,2,2,Friendly,London,England,False
FRIENDLY_1876-03-04_SCOTLAND_ENGLAND,1876-03-04,Scotland,England,3,0,Friendly,Glasgow,Scotland,False
FRIENDLY_1876-03-25_SCOTLAND_WALES,1876-03-25,Scotland,Wales,4,0,Friendly,Glasgow,Scotland,False
FRIENDLY_1877-03-03_ENGLAND_SCOTLAND,1877-03-03,England,Scotland,1,3,Friendly,London,England,False
FRIENDLY_1877-03-05_WALES_SCOTLAND,1877-03-05,Wales,Scotland,0,2,Friendly,Wrexham,Wales,False
FRIENDLY_1878-03-02_SCOTLAND_ENGLAND,1878-03-02,Scotland,England,7,2,Friendly,Glasgow,Scotland,False
FRIENDLY_1878-03-23_SCOTLAND_WALES,1878-03-23,Scotland,Wales,9,0,Friendly,Glasgow,Scotland,False
FRIENDLY_1879-01-18_ENGLAND_WALES,1879-01-18,England,Wales,2,1,Friendly,London,England,False
FRIENDLY_1879-04-05_ENGLAND_SCOTLAND,1879-04-05,England,Scotland,5,4,Friendly,London,England,False
FRIENDLY_1879-04-07_WALES_SCOTLAND,1879-04-07,Wales,Scotland,0,3,Friendly,Wrexham,Wales,False
FRIENDLY_1880-03-13_SCOTLAND_ENGLAND,1880-03-13,Scotland,England,5,4,Friendly,Glasgow,Scotland,False
FRIENDLY_1880-03-15_WALES_ENGLAND,1880-03-15,Wales,England,2,3,Friendly,Wrexham,Wales,False
FRIENDLY_1880-03-27_SCOTLAND_WALES,1880-03-27,Scotland,Wales,5,1,Friendly,Glasgow,Scotland,False
FRIENDLY_1881-02-26_ENGLAND_WALES,1881-02-26,England,Wales,0,1,Friendly,Blackburn,England,False
FRIENDLY_1881-03-12_ENGLAND_SCOTLAND,1881-03-12,England,Scotland,1,6,Friendly,London,England,False
FRIENDLY_1881-03-14_WALES_SCOTLAND,1881-03-14,Wales,Scotland,1,5,Friendly,Wrexham,Wales,False
FRIENDLY_1882-02-18_NORTHERN_IRELAND_ENGLAND,1882-02-18,Northern Ireland,England,0,13,Friendly,Belfast,Ireland,False
