match_id,date,home_team,away_team,home_score,away_score,tournament,home_formation,away_formation,home_avg_age,away_avg_age,home_possession,away_possession,home_shots_total,away_shots_total,home_shots_on_target,away_shots_on_target,home_shots_blocked,away_shots_blocked,home_shot_accuracy,away_shot_accuracy,home_passes_total,away_passes_total,home_pass_accuracy,away_pass_accuracy,home_key_passes,away_key_passes,home_tackles_won,away_tackles_won,home_tackle_success,away_tackle_success,home_interceptions,away_interceptions,home_clearances,away_clearances,home_aerials_won,away_aerials_won,home_attacking_intensity,away_attacking_intensity,home_defensive_intensity,away_defensive_intensity
WC_2026-06-11_MEXICO_SOUTH_AFRICA,2026-06-11,Mexico,South Africa,2,0,FIFA World Cup,4-1-4-1,5-3-2,27.5,26.3,51.8,43.7,16,3,4,2,5,0,25.0,66.7,520,334,89.8,81.4,13,2,12,14,92.3,60.9,8,7,15,17,15,7,29,5,35,38
WC_2026-06-12_SOUTH_KOREA_CZECHIA,2026-06-12,South Korea,Czechia,2,1,FIFA World Cup,3-4-2-1,3-4-2-1,27.5,27.2,49.8,46.6,15,7,6,4,4,0,40.0,57.1,541,327,86.7,70.3,14,3,7,9,63.6,52.9,9,6,32,21,27,16,29,10,48,36
WC_2026-06-12_CANADA_BOSNIA_AND_HERZEGOVINA,2026-06-12,Canada,Bosnia and Herzegovina,1,1,FIFA World Cup,4-4-2,4-4-2,26.5,26,49.9,52.0,13,8,4,3,4,1,30.8,37.5,421,271,73.6,63.5,12,5,23,20,79.3,74.1,4,11,21,70,21,43,25,13,48,101
WC_2026-06-13_USA_PARAGUAY,2026-06-13,USA,Paraguay,4,1,FIFA World Cup,4-2-3-1,4-4-2,26.4,28.5,50.6,55.3,16,9,6,1,4,5,37.5,11.1,598,319,85.1,72.7,12,7,9,21,60.0,48.8,9,10,15,33,18,16,28,16,33,64
WC_2026-06-13_QATAR_SWITZERLAND,2026-06-13,Qatar,Switzerland,1,1,FIFA World Cup,4-3-3,4-3-3,28.9,27.8,62.4,52.1,6,26,3,7,0,9,50.0,26.9,278,576,71.9,91.5,4,24,14,8,66.7,80.0,11,7,31,13,10,10,10,50,56,28
WC_2026-06-13_BRAZIL_MOROCCO,2026-06-13,Brazil,Morocco,1,1,FIFA World Cup,4-2-3-1,4-2-3-1,28.6,26.2,48.7,55.2,12,14,5,3,3,6,41.7,21.4,514,486,87.4,86.2,10,10,23,26,59.0,83.9,5,5,23,17,12,4,22,24,51,48
WC_2026-06-14_HAITI_SCOTLAND,2026-06-14,Haiti,Scotland,0,1,FIFA World Cup,4-4-2,4-4-2,27,28.7,54.8,41.3,15,9,2,2,4,2,13.3,22.2,431,374,85.4,82.1,11,7,12,12,70.6,66.7,6,6,20,17,14,21,26,16,38,35
WC_2026-06-14_AUSTRALIA_TURKIYE,2026-06-14,Australia,Turkiye,2,0,FIFA World Cup,5-4-1,4-2-3-1,26.9,27.2,42.8,50.8,9,30,4,8,1,12,44.4,26.7,271,704,74.2,90.2,8,20,15,12,75.0,60.0,7,4,55,29,15,17,17,50,77,45
WC_2026-06-14_GERMANY_CURACAO,2026-06-14,Germany,Curacao,7,1,FIFA World Cup,4-2-3-1,4-3-1-2,27.7,27.5,46.8,56.1,26,8,12,2,8,0,46.2,25.0,637,343,87.0,82.2,21,6,19,16,61.3,64.0,12,16,8,25,9,5,47,14,39,57
WC_2026-06-14_NETHERLANDS_JAPAN,2026-06-14,Netherlands,Japan,2,2,FIFA World Cup,4-3-3,3-4-2-1,27.4,27,41.8,55.1,10,10,6,3,1,1,60.0,30.0,524,341,88.4,83.9,10,10,11,11,78.6,57.9,7,4,23,32,21,7,20,20,41,47
WC_2026-06-15_IVORY_COAST_ECUADOR,2026-06-15,Ivory Coast,Ecuador,1,0,FIFA World Cup,4-4-2,4-4-2,25.4,25.6,45.9,47.5,15,12,4,1,3,3,26.7,8.3,470,492,84.5,85.2,12,9,14,21,82.4,60.0,11,13,29,18,17,11,27,21,54,52
WC_2026-06-15_SWEDEN_TUNISIA,2026-06-15,Sweden,Tunisia,5,1,FIFA World Cup,3-1-4-2,5-3-2,27,26.3,43.3,49.7,13,6,7,2,3,1,53.8,33.3,356,371,78.1,78.7,11,4,14,21,66.7,80.8,6,6,23,13,15,15,24,10,43,40
WC_2026-06-15_SPAIN_CABO_VERDE,2026-06-15,Spain,Cabo Verde,0,0,FIFA World Cup,4-3-3,4-1-4-1,26.2,29.3,49.6,41.7,27,6,7,1,8,2,25.9,16.7,800,278,91.8,73.7,19,4,13,18,76.5,72.0,6,15,7,46,19,9,46,10,26,79
WC_2026-06-15_BELGIUM_EGYPT,2026-06-15,Belgium,Egypt,1,1,FIFA World Cup,4-2-3-1,4-2-3-1,27.4,28.7,47.7,50.8,15,14,3,3,5,7,20.0,21.4,455,398,85.9,81.2,13,10,17,28,68.0,70.0,10,16,25,17,14,9,28,24,52,61
WC_2026-06-15_SAUDI_ARABIA_URUGUAY,2026-06-15,Saudi Arabia,Uruguay,1,1,FIFA World Cup,4-4-2,4-2-3-1,28,28.1,40.1,51.3,7,27,3,10,1,7,42.9,37.0,322,612,73.3,88.2,1,19,11,3,57.9,50.0,9,10,43,17,22,20,8,46,63,30
WC_2026-06-16_IRAN_NEW_ZEALAND,2026-06-16,Iran,New Zealand,2,2,FIFA World Cup,4-4-2,4-2-3-1,29.8,27.8,46.5,44.9,17,14,4,8,5,2,23.5,57.1,409,446,76.8,84.3,11,9,17,13,73.9,76.5,11,15,27,26,25,15,28,23,55,54
WC_2026-06-16_FRANCE_SENEGAL,2026-06-16,France,Senegal,3,1,FIFA World Cup,4-2-3-1,4-2-3-1,26.6,26.7,47.3,53.5,11,6,8,2,2,1,72.7,33.3,575,502,87.8,85.7,9,5,19,14,70.4,73.7,7,8,14,17,12,8,20,11,40,39
WC_2026-06-16_IRAQ_NORWAY,2026-06-16,Iraq,Norway,1,4,FIFA World Cup,4-4-2,4-4-2,26.5,26.3,50.1,52.6,11,12,1,5,2,3,9.1,41.7,334,537,81.1,88.8,8,9,19,15,79.2,60.0,5,2,20,22,10,17,19,21,44,39
WC_2026-06-17_ARGENTINA_ALGERIA,2026-06-17,Argentina,Algeria,3,0,FIFA World Cup,4-4-2,4-3-3,28.7,26.5,45.3,55.1,10,7,6,0,0,3,60.0,0.0,561,609,89.8,92.4,7,6,27,17,77.1,89.5,10,8,17,12,3,5,17,13,54,37
WC_2026-06-17_AUSTRIA_JORDAN,2026-06-17,Austria,Jordan,3,1,FIFA World Cup,4-2-3-1,3-4-2-1,28.2,28.1,47.5,53.4,11,11,4,4,1,2,36.4,36.4,580,332,84.0,72.6,6,9,17,15,53.1,78.9,15,12,24,39,16,9,17,20,56,66
