match_id,date,home_team,away_team,home_score,away_score,home_formation,away_formation,home_possession,away_possession,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_shots_blocked,away_shots_blocked,home_shots_insidebox,away_shots_insidebox,home_shots_outsidebox,away_shots_outsidebox,home_xg,away_xg,home_passes,away_passes,home_pass_accuracy,away_pass_accuracy,home_tackles,away_tackles,home_interceptions,away_interceptions,home_clearances,away_clearances,home_corners,away_corners,home_offsides,away_offsides,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goalkeeper_saves,away_goalkeeper_saves,venue,referee,attendance
WC2022_20_NOV_2022_QATAR_ECUADOR,20 NOV 2022,QATAR,ECUADOR,0,2,,,42.0,50.0,5.0,6.0,0.0,3.0,5.0,3.0,,,2.0,4.0,3.0,2.0,,,450.0,480.0,84.7,85.2,,,,,,,1.0,3.0,3.0,4.0,15.0,15.0,4.0,2.0,0.0,0.0,0.0,2.0,,,
WC2022_21_NOV_2022_ENGLAND_IRAN,21 NOV 2022,ENGLAND,IRAN,6,2,,,72.0,19.0,13.0,8.0,7.0,3.0,3.0,4.0,,,10.0,6.0,3.0,2.0,,,809.0,224.0,90.2,68.8,,,,,,,8.0,0.0,2.0,2.0,9.0,14.0,0.0,2.0,0.0,0.0,6.0,2.0,,,
WC2022_21_NOV_2022_SENEGAL_NETHERLANDS,21 NOV 2022,SENEGAL,NETHERLANDS,0,2,,,44.0,45.0,14.0,9.0,3.0,3.0,8.0,5.0,,,7.0,5.0,7.0,4.0,,,383.0,438.0,81.7,85.4,,,,,,,6.0,7.0,2.0,1.0,13.0,13.0,2.0,1.0,0.0,0.0,0.0,2.0,,,
WC2022_21_NOV_2022_UNITED STATES_WALES,21 NOV 2022,UNITED STATES,WALES,1,1,,,51.0,39.0,6.0,7.0,1.0,3.0,4.0,3.0,,,4.0,5.0,2.0,2.0,,,569.0,409.0,89.5,78.5,,,,,,,5.0,3.0,1.0,1.0,15.0,10.0,4.0,2.0,0.0,0.0,1.0,1.0,,,
WC2022_22_NOV_2022_ARGENTINA_SAUDI ARABIA,22 NOV 2022,ARGENTINA,SAUDI ARABIA,1,2,,,64.0,24.0,14.0,3.0,6.0,2.0,5.0,0.0,,,10.0,3.0,4.0,0.0,,,610.0,267.0,86.7,71.2,,,,,,,9.0,2.0,10.0,1.0,7.0,21.0,0.0,6.0,0.0,0.0,1.0,2.0,,,
WC2022_22_NOV_2022_DENMARK_TUNISIA,22 NOV 2022,DENMARK,TUNISIA,0,0,,,55.0,33.0,11.0,11.0,4.0,1.0,4.0,7.0,,,7.0,6.0,4.0,5.0,,,594.0,387.0,88.0,78.0,,,,,,,11.0,9.0,1.0,1.0,9.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,,,
WC2022_22_NOV_2022_MEXICO_POLAND,22 NOV 2022,MEXICO,POLAND,0,0,,,54.0,31.0,13.0,8.0,4.0,1.0,5.0,4.0,,,10.0,7.0,3.0,1.0,,,485.0,322.0,87.0,74.8,,,,,,,6.0,5.0,3.0,0.0,14.0,16.0,2.0,1.0,0.0,0.0,0.0,0.0,,,
WC2022_22_NOV_2022_FRANCE_AUSTRALIA,22 NOV 2022,FRANCE,AUSTRALIA,4,1,,,56.0,35.0,22.0,4.0,7.0,1.0,9.0,3.0,,,18.0,2.0,4.0,2.0,,,734.0,466.0,91.6,85.6,,,,,,,8.0,1.0,0.0,0.0,5.0,11.0,0.0,3.0,0.0,0.0,4.0,1.0,,,
WC2022_23_NOV_2022_MOROCCO_CROATIA,23 NOV 2022,MOROCCO,CROATIA,0,0,,,32.0,57.0,8.0,6.0,2.0,2.0,0.0,2.0,,,3.0,4.0,5.0,2.0,,,360.0,667.0,80.6,88.8,,,,,,,0.0,5.0,0.0,1.0,17.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,,,
WC2022_23_NOV_2022_GERMANY_JAPAN,23 NOV 2022,GERMANY,JAPAN,1,2,,,65.0,22.0,25.0,10.0,9.0,3.0,11.0,6.0,,,15.0,10.0,10.0,0.0,,,820.0,261.0,90.6,79.3,,,,,,,6.0,6.0,4.0,4.0,6.0,14.0,0.0,0.0,0.0,0.0,1.0,2.0,,,
WC2022_23_NOV_2022_SPAIN_COSTA RICA,23 NOV 2022,SPAIN,COSTA RICA,7,0,,,74.0,17.0,17.0,0.0,7.0,0.0,8.0,0.0,,,12.0,0.0,5.0,0.0,,,1061.0,231.0,94.5,73.6,,,,,,,5.0,0.0,3.0,7.0,8.0,12.0,0.0,2.0,0.0,0.0,7.0,0.0,,,
WC2022_23_NOV_2022_BELGIUM_CANADA,23 NOV 2022,BELGIUM,CANADA,1,0,,,46.0,43.0,9.0,21.0,3.0,4.0,6.0,12.0,,,6.0,16.0,3.0,5.0,,,512.0,448.0,85.7,85.3,,,,,,,4.0,4.0,0.0,1.0,11.0,14.0,3.0,2.0,0.0,0.0,1.0,0.0,,,
WC2022_24_NOV_2022_SWITZERLAND_CAMEROON,24 NOV 2022,SWITZERLAND,CAMEROON,1,0,,,43.0,46.0,8.0,7.0,3.0,3.0,4.0,2.0,,,6.0,6.0,2.0,1.0,,,497.0,500.0,87.9,84.8,,,,,,,11.0,5.0,2.0,2.0,12.0,10.0,2.0,1.0,0.0,0.0,1.0,0.0,,,
WC2022_24_NOV_2022_URUGUAY_KOREA REPUBLIC,24 NOV 2022,URUGUAY,KOREA REPUBLIC,0,0,,,49.0,38.0,10.0,6.0,0.0,0.0,6.0,5.0,,,7.0,1.0,3.0,5.0,,,528.0,419.0,86.9,81.1,,,,,,,4.0,3.0,1.0,0.0,7.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,,,
WC2022_24_NOV_2022_PORTUGAL_GHANA,24 NOV 2022,PORTUGAL,GHANA,3,2,,,55.0,35.0,11.0,8.0,5.0,3.0,3.0,5.0,,,7.0,2.0,4.0,6.0,,,636.0,394.0,90.1,82.7,,,,,,,3.0,3.0,1.0,1.0,14.0,19.0,2.0,4.0,0.0,0.0,3.0,2.0,,,
